country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Russian Federation,142.834,99.41326725919949,15533.899955,77.37,3360.0,102.81000000000004,54.644489835619105,27.500455073721948,13.393985342431133,2
Saint Kitts and Nevis,0.054000000000000006,105.88235294117649,14823.748773,54.36,2491.0,72.32000000000002,63.02544247787611,55.555555555555564,100.0,3
Saint Lucia,0.182,105.20231213872832,7603.788464,63.02,2589.0,85.74,59.062281315605325,71.42857142857143,92.30769230769229,3
Saint Vincent and the Grenadines,0.109,100.0,6597.2137520000015,56.35,2965.0,86.26999999999998,54.456937521734076,73.39449541284405,100.0,3
Sao Tome and Principe,0.193,114.88095238095238,1619.5327140000004,45.14,2398.0,53.1,29.943502824858758,10.362694300518132,50.0,5
Saudi Arabia,28.829,109.34157627247214,24934.386142,63.5,3255.0,91.59000000000002,43.58554427339229,49.04783377848694,62.16407355021217,2
Senegal,14.133,115.47512051638205,1051.427725,54.15,2453.0,58.31999999999999,26.148834019204386,4.5991650746479875,0.0,5
Sierra Leone,6.0920000000000005,110.12292118582786,710.810025,48.74,2401.0,56.11,26.483692746391014,4.924491135915956,46.66666666666666,5
Slovenia,2.072,101.96850393700787,23288.231184,75.61,3168.0,96.02,53.95750885232243,23.64864864864865,34.0,2
Slovakia,5.45,100.64635272391504,18152.256133000006,75.17,2943.0,72.11,48.4676189155457,15.045871559633028,69.76744186046511,2
South Africa,52.776,104.99134621123206,6818.736993,66.03,3020.0,85.32999999999998,42.646197117074884,37.57389722601182,17.95259707513868,2
Spain,46.927,103.72212275932188,29163.288417000003,77.68,3173.0,104.76,62.18022145857197,28.618918746137613,12.582781456953645,2
Suriname,0.539,104.6601941747573,9484.379311,48.05,2752.0,62.85999999999999,45.17976455615654,35.2504638218924,72.41379310344827,5
Tajikistan,8.208,112.82474226804123,1040.155801,57.11,2199.0,63.37999999999998,33.55948248658883,2.5584795321637426,95.23809523809523,5
Eswatini,1.25,108.31889081455809,3590.262955,58.95,2326.0,58.58999999999998,30.03925584570746,6.4,25.0,5
Sweden,9.571,103.63833243096914,60190.02959500001,81.27,3180.0,107.48,65.88202456270933,16.612684150036568,41.01123595505618,1
Switzerland,8.078,105.55337776035542,84659.015403,75.69,3393.0,92.89,64.33415868231242,16.340678385739047,42.42424242424242,1
United Republic of Tanzania,49.253,116.28889833309722,898.349499,53.63,2204.0,57.76,17.624653739612185,1.8272998599070107,2.2222222222222223,5
Thailand,67.01100000000001,101.24801692226336,6171.263886,78.45,2785.0,60.85,40.870994248151185,13.684320484696544,1.164021164021164,2
Togo,6.817,113.8633706363788,613.440163,55.2,2448.0,59.76000000000002,15.127175368139222,6.6011441983277095,28.88888888888889,5
Trinidad and Tobago,1.341,101.89969604863221,19613.867976,60.81,3049.0,83.33,51.7220688827553,58.165548098434,27.472527472527474,2
Oman,3.6319999999999997,140.0154202004626,21268.756403,67.19,3140.0,88.20999999999998,51.80818501303707,31.38766519823789,103.50877192982458,3
Tunisia,10.997,105.83196997401598,4199.600307,66.11,3349.0,98.49,28.81510813280536,18.4595798854233,0.9852216748768472,5
Turkey,74.933,106.4933772952078,12542.930758,74.33,3708.0,108.11999999999996,33.573806881243065,18.77677391803344,0.0,5
United Arab Emirates,9.346,137.46139138108543,43315.138419,81.28,3275.0,104.51,39.90048799157976,41.087096083886145,97.65625,3
Uganda,37.579,118.25104628842945,687.24185,57.06,2126.0,52.63999999999999,23.518237082066854,1.5168045983128875,0.0,5
United Kingdom,63.38399999999999,102.94122423789648,42385.080963,82.65,3425.0,103.14,56.496024820632144,31.553704404897136,38.83309421329507,1
Ukraine,45.239,97.36983706764812,4063.104441,68.25,3138.0,88.63000000000002,48.68554665463161,24.226883883374963,6.733393994540491,2
United States of America,320.051,104.36774637461399,52898.817379,82.75,3682.0,109.42000000000002,63.76348016815941,50.01077953201209,0.6273291925465839,1
Burkina Faso,16.935,115.51841746248293,699.781484,51.57,2717.0,79.37000000000002,13.95993448406199,2.2438736344847947,0.0,5
Uruguay,3.407,101.73186025679306,16881.202977,62.6,3052.0,92.33,58.475035199826706,27.59025535661873,4.040404040404041,2
Uzbekistan,28.934,107.07175369129999,1933.98262,67.4,2759.0,83.41,34.995803860448376,1.8663164443215596,38.888888888888886,5
Venezuela (Bolivarian Republic of),30.405,108.12588904694168,12248.175454,30.61,2633.0,72.96000000000002,52.261513157894726,39.26985693142575,23.36683417085427,5
Viet Nam,91.68,104.93424441163341,1871.325494,68.36,2744.0,81.61,38.04680798921701,12.358202443280973,44.1306266548985,5
Ethiopia,94.101,113.8947725154622,490.495538,49.06,2129.0,60.38999999999999,12.733896340453715,0.6588665370187352,0.0,5
Samoa,0.19,103.82513661202186,4217.831676,63.77,2956.0,85.53000000000002,62.72652870337893,63.157894736842096,92.85714285714286,3
Yemen,24.406999999999996,112.4539255436786,1358.885271,32.41,2217.0,58.89999999999999,23.51443123938879,10.734625312410373,41.6030534351145,5
Zambia,14.539000000000001,116.71349442080758,1850.797795,65.08,1924.0,55.22000000000001,16.71495834842449,3.3014650251048905,4.166666666666666,5
Belgium,11.104000000000001,103.07249605495218,46713.462219,73.95,3737.0,99.37000000000003,58.50860420650096,12.15778097982709,176.22377622377624,3
Luxembourg,0.53,108.82956878850105,113341.237463,69.01,3540.0,113.64,63.46356916578669,20.754716981132077,90.9090909090909,1
Serbia,9.511000000000001,97.43878700952772,6351.678982,73.49,2725.0,82.21000000000002,48.570733487410294,10.619282935548313,11.881188118811881,2
Montenegro,0.621,100.32310177705976,7119.349101999999,72.73,3490.0,111.90000000000003,56.398570151921355,16.10305958132045,70.0,2
